"Fecha","Horas","O3","O3_8Hrs","NO2","CO_8Hrs","SO2_24Hrs","PM_10_12Hrs","PM_2.5_12Hrs"
2020-01-04,13H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-04,14H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-04,15H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-04,16H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-04,17H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-04,18H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-04,19H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-04,20H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-04,21H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-04,22H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-04,23H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,1H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,2H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,3H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,4H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,5H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,6H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,7H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,8H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,9H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,10H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,11H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,12H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,13H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,14H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,15H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,16H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,17H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,18H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,19H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,20H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,21H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,22H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-05,23H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,1H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,2H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,3H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,4H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,5H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,6H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,7H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,8H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,9H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,10H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,11H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,12H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,13H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,14H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,15H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,16H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,17H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,18H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,19H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,20H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,21H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,22H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-06,23H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,0S,NA,NA,NA,NA,NA,NA,NA
2020-01-07,1H 0M 0S,NA,NA,NA,NA,NA,NA,NA
