"Fecha","Horas","O3","O3_8Hrs","NO2","CO_8Hrs","SO2_24Hrs","PM_10_12Hrs","PM_2.5_12Hrs"
2022-01-01,0S,2,21,NA,NA,4,97,NA
2022-01-01,1H 0M 0S,3,15,NA,NA,4,49,NA
2022-01-01,2H 0M 0S,3,10,NA,NA,4,49,NA
2022-01-01,3H 0M 0S,3,6,NA,NA,4,NA,NA
2022-01-01,4H 0M 0S,3,3,NA,NA,4,NA,NA
2022-01-01,5H 0M 0S,3,3,NA,NA,4,NA,NA
2022-01-01,6H 0M 0S,4,3,55,NA,4,NA,NA
2022-01-01,7H 0M 0S,4,3,52,NA,4,NA,NA
2022-01-01,8H 0M 0S,4,3,44,NA,5,NA,NA
2022-01-01,9H 0M 0S,13,5,35,NA,5,NA,NA
2022-01-01,10H 0M 0S,27,8,30,NA,5,NA,NA
2022-01-01,11H 0M 0S,42,13,19,NA,5,NA,NA
2022-01-01,12H 0M 0S,57,19,17,NA,5,NA,NA
2022-01-01,13H 0M 0S,69,28,13,NA,5,NA,NA
2022-01-01,14H 0M 0S,76,37,13,268,5,NA,NA
2022-01-01,15H 0M 0S,69,45,12,264,5,NA,NA
2022-01-01,16H 0M 0S,57,51,11,261,5,NA,NA
2022-01-01,17H 0M 0S,58,57,10,250,5,NA,NA
2022-01-01,18H 0M 0S,49,60,12,245,5,NA,NA
2022-01-01,19H 0M 0S,38,59,22,244,5,NA,NA
2022-01-01,20H 0M 0S,32,56,25,246,5,NA,NA
2022-01-01,21H 0M 0S,2,48,NA,257,5,NA,NA
2022-01-01,22H 0M 0S,1,38,NA,258,5,NA,NA
2022-01-01,23H 0M 0S,3,30,NA,268,5,NA,NA
2022-01-02,0S,5,24,48,276,5,NA,NA
2022-01-02,1H 0M 0S,3,17,NA,283,5,NA,NA
2022-01-02,2H 0M 0S,12,12,34,286,4,NA,NA
2022-01-02,3H 0M 0S,14,9,29,286,4,NA,NA
2022-01-02,4H 0M 0S,13,7,28,287,4,NA,NA
2022-01-02,5H 0M 0S,15,8,26,277,4,NA,NA
2022-01-02,6H 0M 0S,11,10,27,275,4,NA,NA
2022-01-02,7H 0M 0S,7,10,34,269,4,NA,NA
2022-01-02,8H 0M 0S,6,10,36,266,3,NA,NA
2022-01-02,9H 0M 0S,12,11,34,264,3,NA,NA
2022-01-02,10H 0M 0S,18,12,36,265,3,NA,NA
2022-01-02,11H 0M 0S,31,14,20,261,3,NA,NA
2022-01-02,12H 0M 0S,37,17,13,252,3,NA,NA
2022-01-02,13H 0M 0S,38,20,15,243,3,NA,NA
2022-01-02,14H 0M 0S,39,24,13,231,3,NA,NA
2022-01-02,15H 0M 0S,37,27,17,219,3,NA,NA
2022-01-02,16H 0M 0S,33,31,20,206,3,NA,NA
2022-01-02,17H 0M 0S,33,33,25,193,3,NA,NA
2022-01-02,18H 0M 0S,31,35,24,180,3,NA,NA
2022-01-02,19H 0M 0S,22,34,30,173,3,NA,NA
