"Fecha","Horas","O3","NO2","CO","SO2","PM_10","PM_2.5"
2024-01-01,0S,2,18,10,4,51,NA
2024-01-01,1H 0M 0S,1,17,12,4,57,NA
2024-01-01,2H 0M 0S,2,17,13,4,67,NA
2024-01-01,3H 0M 0S,2,17,14,4,80,NA
2024-01-01,4H 0M 0S,3,17,15,4,91,NA
2024-01-01,5H 0M 0S,4,17,16,4,102,NA
2024-01-01,6H 0M 0S,3,14,17,4,106,NA
2024-01-01,7H 0M 0S,4,11,17,4,107,NA
2024-01-01,8H 0M 0S,5,9,16,6,109,NA
2024-01-01,9H 0M 0S,11,7,15,6,110,NA
2024-01-01,10H 0M 0S,19,7,15,6,110,NA
2024-01-01,11H 0M 0S,28,5,14,6,110,NA
2024-01-01,12H 0M 0S,37,3,12,6,110,NA
2024-01-01,13H 0M 0S,44,4,11,6,110,NA
2024-01-01,14H 0M 0S,55,4,10,6,111,NA
2024-01-01,15H 0M 0S,44,3,8,6,111,NA
2024-01-01,16H 0M 0S,42,3,7,6,110,NA
2024-01-01,17H 0M 0S,38,3,6,6,110,NA
2024-01-01,18H 0M 0S,36,3,6,6,110,NA
2024-01-01,19H 0M 0S,34,5,6,6,110,NA
2024-01-01,20H 0M 0S,27,10,6,6,110,NA
2024-01-01,21H 0M 0S,11,19,6,6,111,NA
2024-01-01,22H 0M 0S,13,13,6,6,111,NA
2024-01-01,23H 0M 0S,11,15,7,6,110,NA
2024-01-02,0S,11,15,7,6,108,NA
2024-01-02,1H 0M 0S,11,13,8,6,107,NA
2024-01-02,2H 0M 0S,18,8,8,6,105,NA
2024-01-02,3H 0M 0S,14,8,8,6,102,NA
2024-01-02,4H 0M 0S,11,9,8,6,94,NA
2024-01-02,5H 0M 0S,13,7,8,4,78,NA
2024-01-02,6H 0M 0S,5,10,7,4,67,NA
2024-01-02,7H 0M 0S,1,13,7,4,58,NA
2024-01-02,8H 0M 0S,1,14,7,4,54,NA
2024-01-02,9H 0M 0S,3,14,7,4,51,NA
2024-01-02,10H 0M 0S,7,15,8,4,45,NA
2024-01-02,11H 0M 0S,13,18,8,4,51,NA
2024-01-02,12H 0M 0S,29,6,9,4,52,NA
2024-01-02,13H 0M 0S,29,3,9,4,52,NA
2024-01-02,14H 0M 0S,31,3,8,4,51,NA
2024-01-02,15H 0M 0S,31,3,8,4,51,NA
2024-01-02,16H 0M 0S,31,3,8,4,51,NA
2024-01-02,17H 0M 0S,31,4,7,4,51,NA
2024-01-02,18H 0M 0S,29,5,7,4,45,NA
2024-01-02,19H 0M 0S,23,8,6,4,45,NA
2024-01-02,20H 0M 0S,11,17,6,4,45,NA
2024-01-02,21H 0M 0S,4,63,6,4,45,NA
2024-01-02,22H 0M 0S,1,64,7,4,51,NA
2024-01-02,23H 0M 0S,2,61,8,4,51,NA
2024-01-03,0S,1,20,9,4,52,NA
2024-01-03,1H 0M 0S,1,19,10,4,55,NA
2024-01-03,2H 0M 0S,1,19,12,4,60,NA
2024-01-03,3H 0M 0S,1,18,13,4,65,NA
2024-01-03,4H 0M 0S,1,18,14,4,70,NA
2024-01-03,5H 0M 0S,1,17,15,4,71,97
2024-01-03,6H 0M 0S,4,14,14,4,71,NA
2024-01-03,7H 0M 0S,1,15,14,4,74,NA
2024-01-03,8H 0M 0S,1,16,14,4,77,NA
2024-01-03,9H 0M 0S,2,18,14,4,80,NA
2024-01-03,10H 0M 0S,11,10,14,4,80,NA
2024-01-03,11H 0M 0S,16,8,13,4,77,NA
2024-01-03,12H 0M 0S,23,4,11,4,76,NA
2024-01-03,13H 0M 0S,26,3,10,4,76,NA
2024-01-03,14H 0M 0S,28,3,10,4,76,NA
2024-01-03,15H 0M 0S,29,3,9,4,76,NA
2024-01-03,16H 0M 0S,29,2,8,4,76,NA
2024-01-03,17H 0M 0S,26,3,7,4,76,NA
2024-01-03,18H 0M 0S,25,4,6,4,76,NA
2024-01-03,19H 0M 0S,19,9,5,4,76,NA
2024-01-03,20H 0M 0S,8,16,6,4,76,NA
2024-01-03,21H 0M 0S,1,62,7,4,76,NA
2024-01-03,22H 0M 0S,1,61,8,4,74,NA
2024-01-03,23H 0M 0S,1,20,10,4,74,NA
2024-01-04,0S,1,18,11,4,73,NA
2024-01-04,1H 0M 0S,6,13,11,4,70,NA
2024-01-04,2H 0M 0S,12,6,11,4,63,NA
2024-01-04,3H 0M 0S,11,6,11,4,55,NA
2024-01-04,4H 0M 0S,10,8,11,4,51,NA
2024-01-04,5H 0M 0S,4,11,10,4,44,NA
2024-01-04,6H 0M 0S,2,12,9,4,44,NA
2024-01-04,7H 0M 0S,1,13,8,4,43,NA
2024-01-04,8H 0M 0S,1,14,8,4,40,NA
2024-01-04,9H 0M 0S,6,10,8,4,38,NA
2024-01-04,10H 0M 0S,14,4,8,4,35,NA
2024-01-04,11H 0M 0S,17,3,8,4,35,NA
2024-01-04,12H 0M 0S,19,2,8,4,36,NA
2024-01-04,13H 0M 0S,20,2,8,4,35,NA
2024-01-04,14H 0M 0S,23,2,7,4,35,NA
2024-01-04,15H 0M 0S,24,2,7,4,36,NA
2024-01-04,16H 0M 0S,24,3,6,4,36,NA
2024-01-04,17H 0M 0S,25,4,6,4,36,NA
2024-01-04,18H 0M 0S,26,4,5,4,38,72
2024-01-04,19H 0M 0S,19,8,5,4,38,70
2024-01-04,20H 0M 0S,13,11,6,4,38,70
2024-01-04,21H 0M 0S,11,12,6,4,36,NA
2024-01-04,22H 0M 0S,3,17,7,4,35,NA
2024-01-04,23H 0M 0S,6,13,7,4,34,NA
2024-01-05,0S,16,5,7,2,31,NA
2024-01-05,1H 0M 0S,16,4,7,2,31,NA
2024-01-05,2H 0M 0S,16,4,7,2,30,NA
2024-01-05,3H 0M 0S,16,3,7,2,31,NA
2024-01-05,4H 0M 0S,14,3,7,2,30,NA
2024-01-05,5H 0M 0S,14,3,7,2,29,NA
2024-01-05,6H 0M 0S,11,5,6,2,28,NA
2024-01-05,7H 0M 0S,9,6,6,2,26,NA
2024-01-05,8H 0M 0S,6,8,6,2,25,NA
2024-01-05,9H 0M 0S,9,7,6,2,24,NA
2024-01-05,10H 0M 0S,11,6,6,2,24,NA
2024-01-05,11H 0M 0S,16,3,6,2,24,NA
2024-01-05,12H 0M 0S,19,2,6,2,24,NA
2024-01-05,13H 0M 0S,20,2,6,2,24,NA
2024-01-05,14H 0M 0S,22,2,6,2,24,NA
2024-01-05,15H 0M 0S,23,3,6,2,24,NA
2024-01-05,16H 0M 0S,24,3,6,2,24,NA
2024-01-05,17H 0M 0S,23,3,5,2,25,NA
2024-01-05,18H 0M 0S,21,4,5,2,25,NA
2024-01-05,19H 0M 0S,16,6,5,2,25,NA
2024-01-05,20H 0M 0S,9,11,6,2,25,NA
2024-01-05,21H 0M 0S,6,13,6,2,25,NA
2024-01-05,22H 0M 0S,6,12,7,2,26,NA
2024-01-05,23H 0M 0S,11,9,7,2,28,NA
2024-01-06,0S,11,7,7,2,30,NA
2024-01-06,1H 0M 0S,6,10,7,2,34,NA
2024-01-06,2H 0M 0S,9,6,7,2,38,NA
2024-01-06,3H 0M 0S,11,4,7,2,39,NA
2024-01-06,4H 0M 0S,11,3,7,2,41,NA
2024-01-06,5H 0M 0S,11,3,7,2,41,NA
2024-01-06,6H 0M 0S,9,4,6,2,43,NA
2024-01-06,7H 0M 0S,6,6,6,2,43,NA
2024-01-06,8H 0M 0S,4,8,6,2,41,NA
2024-01-06,9H 0M 0S,5,8,6,2,41,NA
2024-01-06,10H 0M 0S,8,6,6,2,41,NA
2024-01-06,11H 0M 0S,14,3,6,2,44,NA
2024-01-06,12H 0M 0S,16,2,6,2,44,NA
2024-01-06,13H 0M 0S,18,2,6,2,44,NA
2024-01-06,14H 0M 0S,20,2,6,2,44,55
2024-01-06,15H 0M 0S,21,2,6,2,43,55
2024-01-06,16H 0M 0S,21,2,6,2,43,55
2024-01-06,17H 0M 0S,22,3,6,2,40,55
2024-01-06,18H 0M 0S,21,3,5,2,40,55
2024-01-06,19H 0M 0S,16,7,5,2,40,55
2024-01-06,20H 0M 0S,9,12,6,2,40,55
2024-01-06,21H 0M 0S,9,11,6,2,40,55
