"","Fecha_Hora","O3_Horario","O3_8H","NO2","CO_8H","SO2_24H","PM_10","PM_2.5"
"1",2021-01-01 00:00:00,16,20,17,44,98,107,18
"2",2021-01-01 01:00:00,14,17,15,46,105,124,25
"3",2021-01-01 02:00:00,8,15,18,50,119,129,37
"4",2021-01-01 03:00:00,4,12,17,52,132,133,43
"5",2021-01-01 04:00:00,5,11,16,50,138,136,42
"6",2021-01-01 05:00:00,4,10,15,47,148,126,39
"7",2021-01-01 06:00:00,5,9,13,43,150,126,34
"8",2021-01-01 07:00:00,4,8,13,40,151,105,23
"9",2021-01-01 08:00:00,3,6,16,39,155,105,15
"10",2021-01-01 09:00:00,15,6,12,38,158,105,4
"11",2021-01-01 10:00:00,27,8,11,35,162,100,62
"12",2021-01-01 11:00:00,40,13,6,30,157,NA,7
"13",2021-01-01 12:00:00,48,18,5,26,157,82,6
"14",2021-01-01 13:00:00,48,24,5,23,160,89,6
"15",2021-01-01 14:00:00,44,29,5,20,159,85,7
"16",2021-01-01 15:00:00,42,33,4,16,156,89,7
"17",2021-01-01 16:00:00,40,38,4,13,148,80,4
"18",2021-01-01 17:00:00,40,41,5,9,136,91,65
"19",2021-01-01 18:00:00,38,43,6,9,128,81,4
"20",2021-01-01 19:00:00,25,41,15,9,124,106,8
"21",2021-01-01 20:00:00,12,36,26,NA,132,124,7
"22",2021-01-01 21:00:00,3,31,30,NA,129,127,11
"23",2021-01-01 22:00:00,1,25,28,NA,137,157,20
"24",2021-01-01 23:00:00,NA,23,27,NA,137,162,25
"25",2021-01-02 00:00:00,1,17,24,NA,127,142,20
"26",2021-01-02 01:00:00,2,12,22,NA,113,122,12
"27",2021-01-02 02:00:00,7,7,17,NA,101,117,12
"28",2021-01-02 03:00:00,8,5,15,NA,94,101,7
"29",2021-01-02 04:00:00,5,4,16,NA,93,90,5
"30",2021-01-02 05:00:00,1,4,21,22,88,91,3
"31",2021-01-02 06:00:00,3,4,17,21,92,85,3
"32",2021-01-02 07:00:00,NA,4,19,23,95,97,5
"33",2021-01-02 08:00:00,NA,4,19,27,112,108,7
"34",2021-01-02 09:00:00,2,4,23,26,155,100,62
"35",2021-01-02 10:00:00,13,5,38,28,171,112,8
"36",2021-01-02 11:00:00,28,9,24,NA,185,116,12
"37",2021-01-02 12:00:00,40,15,13,NA,181,94,8
"38",2021-01-02 13:00:00,46,22,7,NA,174,84,5
"39",2021-01-02 14:00:00,42,29,7,NA,174,83,4
"40",2021-01-02 15:00:00,36,30,6,NA,172,84,6
"41",2021-01-02 16:00:00,38,31,6,NA,169,83,62
"42",2021-01-02 17:00:00,37,35,6,NA,166,81,62
"43",2021-01-02 18:00:00,31,37,8,NA,166,77,3
"44",2021-01-02 19:00:00,9,35,26,16,179,104,6
"45",2021-01-02 20:00:00,1,30,31,16,196,129,9
"46",2021-01-02 21:00:00,4,25,28,25,201,152,22
"47",2021-01-02 22:00:00,9,21,20,32,185,146,30
"48",2021-01-02 23:00:00,13,18,13,NA,170,126,23
"49",2021-01-03 00:00:00,13,15,12,NA,164,103,15
"50",2021-01-03 01:00:00,11,11,13,NA,163,94,9
"51",2021-01-03 02:00:00,14,9,9,NA,159,85,9
"52",2021-01-03 03:00:00,13,10,7,NA,158,68,4
"53",2021-01-03 04:00:00,2,10,14,NA,153,42,58
"54",2021-01-03 05:00:00,NA,11,15,NA,151,77,65
"55",2021-01-03 06:00:00,NA,11,17,NA,143,83,4
"56",2021-01-03 07:00:00,NA,NA,15,NA,144,84,5
"57",2021-01-03 08:00:00,NA,NA,12,NA,154,81,4
"58",2021-01-03 09:00:00,2,NA,19,NA,142,81,4
"59",2021-01-03 10:00:00,11,NA,15,NA,122,80,62
"60",2021-01-03 11:00:00,23,NA,9,NA,114,79,3
"61",2021-01-03 12:00:00,32,NA,4,NA,109,79,58
"62",2021-01-03 13:00:00,33,NA,4,NA,104,NA,46
"63",2021-01-03 14:00:00,33,22,4,NA,103,NA,35
"64",2021-01-03 15:00:00,35,24,4,NA,107,NA,46
"65",2021-01-03 16:00:00,35,26,5,NA,110,93,54
"66",2021-01-03 17:00:00,37,30,5,NA,115,84,62
"67",2021-01-03 18:00:00,35,33,9,NA,117,92,6
"68",2021-01-03 19:00:00,17,32,21,NA,113,119,8
"69",2021-01-03 20:00:00,9,29,27,NA,94,128,9
"70",2021-01-03 21:00:00,NA,29,31,NA,96,127,12
"71",2021-01-03 22:00:00,NA,28,29,58,102,161,23
"72",2021-01-03 23:00:00,NA,NA,28,61,111,158,25
"73",2021-01-04 00:00:00,NA,NA,26,60,116,139,17
"74",2021-01-04 01:00:00,NA,NA,24,64,118,118,11
"75",2021-01-04 02:00:00,2,NA,21,64,120,104,10
"76",2021-01-04 03:00:00,NA,NA,22,63,124,90,8
"77",2021-01-04 04:00:00,NA,NA,19,58,126,92,6
"78",2021-01-04 05:00:00,2,NA,16,46,125,92,4
"79",2021-01-04 06:00:00,NA,NA,20,36,124,84,3
"80",2021-01-04 07:00:00,NA,NA,18,35,152,93,6
"81",2021-01-04 08:00:00,NA,NA,16,44,176,114,14
"82",2021-01-04 09:00:00,NA,NA,23,58,200,124,11
"83",2021-01-04 10:00:00,11,NA,25,66,211,129,12
"84",2021-01-04 11:00:00,24,NA,24,70,229,119,11
"85",2021-01-04 12:00:00,37,NA,22,73,254,106,5
"86",2021-01-04 13:00:00,51,NA,15,75,280,91,5
