Fecha,Horas,O3 horario (ppm),O3 8 hrs (ppm),NO2 horario (ppm),CO 8 hrs (ppm),SO2 24 hrs (ppm),PM-10 12 hrs (µg/m3),PM-2.5 12 hrs (µg/m3)
2020-01-03,10:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-03,11:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-03,12:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-03,13:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-03,14:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-03,15:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-03,16:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-03,17:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-03,18:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-03,19:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-03,20:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-03,21:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-03,22:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-03,23:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-04,00:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-04,01:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-04,02:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-04,03:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-04,04:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-04,05:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-04,06:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-04,07:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-04,08:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-04,09:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-04,10:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-04,11:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-04,12:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
2020-01-04,13:00,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.,F.O.
